DTXSID,SMILES,Risk_Score_PPARg
DTXSID4040713,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0.845
DTXSID2044000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0.845
DTXSID2047353,CN(C)C(=O)C1(N2CCCCC2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(C(=O)c3ccccc3)CCO2)CC1.Cl,0.845
DTXSID5047904,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F,0.845
DTXSID7020182,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.845
DTXSID6042315,CCOC(=S)[S-].[K+],0.845
DTXSID1021322,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.845
DTXSID9045849,Oc1c(Br)cc(Br)c2cccnc12,0.845
DTXSID5037739,Oc1ccc(Nc2ccccc2)cc1,0.845
DTXSID4020375,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,0.845
DTXSID4034601,CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@@H](C)O[C@@H](C)C1,0.845
DTXSID8047890,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,0.845
DTXSID0023371,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],0.845
DTXSID7029879,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.84375
DTXSID5020366,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,0.8416666666666666
DTXSID9032589,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,0.84
DTXSID9047960,Oc1ccc(Sc2ccc(O)cc2)cc1,0.84
DTXSID8025670,Cc1cc(=O)oc2cc(O)ccc12,0.84
DTXSID1034187,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.84
DTXSID2029662,CCCCCCC[CH2][Sn]([Cl])([Cl])[CH2]CCCCCCC,0.84
DTXSID3042261,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,0.84
DTXSID4026214,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,0.84
DTXSID3030056,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,0.84
DTXSID6032061,O.O.[Na+].[Na+].[O]=[Cr](=[O])([O-])[O][Cr](=[O])(=[O])[O-],0.84
DTXSID3046453,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,0.84
DTXSID2032005,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,0.8383333333333333
DTXSID3025209,O=C1c2c(O)ccc(Nc3ccc(CCO)cc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,0.835
DTXSID5022485,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,0.835
DTXSID4035542,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.[Cl-],0.835
DTXSID4042256,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cccnc1,0.835
DTXSID0021125,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0.835
DTXSID3022536,CC(C)(c1ccccc1)c1ccc(O)cc1,0.835
DTXSID6022391,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.835
DTXSID1044801,CCOC(=S)[S-].[Na+],0.835
DTXSID6049066,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0.835
DTXSID7045029,CNCCCC12CCC(c3ccccc31)c1ccccc12,0.835
DTXSID6045452,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,0.835
DTXSID6045614,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,0.835
DTXSID8029282,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.835
DTXSID8045145,CN(C)CC/C=C1\c2ccccc2COc2ccccc21.Cl,0.835
DTXSID9021716,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,0.835
DTXSID9033187,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,0.835
DTXSID9046235,Cc1ccc2c(Br)cc(Br)c(O)c2n1,0.835
DTXSID801001116,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N=C(O)C(F)(F)C(F)(F)F)C(O)C(C)O1,0.8333333333333335
DTXSID5049021,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.8316666666666667
DTXSID6027050,CN(C)C(=S)[S-].[Na+],0.83
DTXSID9048809,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)c1ccccc1,0.83
DTXSID0027773,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,0.83
DTXSID0047377,CCOC(=O)O[C@H](C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1.Cl,0.83
DTXSID6045791,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O,0.83
DTXSID5021332,CN(C)C(=S)SSC(=S)N(C)C,0.83
DTXSID4020870,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0.83
DTXSID2026602,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.83
DTXSID6049228,CCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.83
DTXSID5037731,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1,0.83
