DTXSID,CASRN,Chemical Name,Global_Risk_Index,Risk_Category,Hazard_Composite,Exposure_Score,Persistence_Score,LogP,TPSA
DTXSID6062048,1893-52-3,2-(Ethyl((tridecafluorohexyl)sulphonyl)amino)ethyl acrylate,33.21531020427323,High Exposure Risk,7.396877219322598,8.0,5.613062989187191,4.063600000000002,63.68
DTXSID3059975,423-82-5,2-(N-Ethyl-N-(perfluorooctylsulfonyl)amino)ethyl acrylate,33.19340752924237,High Exposure Risk,7.178294823490786,8.0,5.780169306472652,5.334200000000002,63.68
DTXSID3071303,68227-99-6,4-(Methyl((undecafluoropentyl)sulfonyl)amino)butyl prop-2-enoate,33.19288472551479,High Exposure Risk,7.48266666885882,8.0,5.544962477023086,3.818400000000003,63.68
DTXSID4070376,66008-68-2,"2-[N-(1,1-Dihydroperfluoroundecylsulfonyl)-N-methylamino]ethyl acrylate",32.967261837156,High Exposure Risk,6.945147423500214,8.0,5.933506487854575,6.257200000000004,63.68
DTXSID40880181,2357-60-0,Perfluorooctylsulfonylpropylaminoethyl acrylate,32.88971820648495,High Exposure Risk,7.093655882294195,8.0,5.795621952951276,5.724300000000004,63.68
DTXSID0068523,49859-70-3,2-[Methyl[(perfluorohexyl)ethylsulfonyl]amino]ethyl 2-propenoate,32.87768624992582,High Exposure Risk,7.319494800726493,8.0,5.61474649976228,4.106100000000002,63.68
DTXSID7070509,67584-57-0,(N-Methylperfluorohexanesulfonamido)ethyl acrylate,32.87536494596629,High Exposure Risk,7.341383852483955,8.0,5.597610342708569,3.6735000000000015,63.68
DTXSID80880423,48077-95-8,2-(1-(Perfluorooctyl)-2-ethylsulfonylmethylamino)ethyl 2-propenoate,32.86395308656755,High Exposure Risk,7.104978742642084,8.0,5.781852817047739,5.376700000000002,63.68
DTXSID40861915,383-07-3,2-(N-Butylperfluorooctanesulfonamido)ethyl acrylate,32.79728266699599,High Exposure Risk,7.054909144991358,8.0,5.811074599429899,6.114400000000004,63.68
DTXSID2061729,1492-87-1,4-(Methyl((nonafluorobutyl)sulfonyl)amino)butyl prop-2-enoate,32.75367843511664,High Exposure Risk,7.496617751411765,8.0,5.461409318380356,3.1831000000000023,63.68
DTXSID9071393,68298-60-2,2-(Butyl((pentadecafluoroheptyl)sulphonyl)amino)ethyl acrylate,32.665147671491084,High Exposure Risk,7.128988518243266,8.0,5.72752144078717,5.479100000000003,63.68
DTXSID70880553,66008-69-3,2-(N-((Perfluorooctyl)methylsulfonyl)-N-methylamino)ethyl acrylate,32.48291026587076,High Exposure Risk,7.041418672185402,8.0,5.766400170569114,4.986600000000003,63.68
DTXSID2071368,68298-06-6,"2-Propenoic acid, 2-(ethyl((undecafluoropentyl)sulfonyl)amino)ethyl ester",32.323682213603746,High Exposure Risk,7.307085800591886,8.0,5.529509830544462,3.428300000000002,63.68
DTXSID9070377,66008-70-6,2-(Methyl((perfluorohexyl)methylsulfonyl)amino)ethyl 2-propenoate,31.85679884586761,High Exposure Risk,7.111789379295008,8.0,5.599293853283655,3.716000000000003,63.68
DTXSID2070508,67584-56-9,2-(Methyl((perfluoropentyl)sulfonyl)amino)ethyl acrylate,31.66399760593248,High Exposure Risk,7.178017145304784,8.0,5.5140571840658374,3.0382000000000016,63.68
DTXSID3066184,17329-79-2,"2-Propenoic acid, 2-(ethyl((nonafluorobutyl)sulfonyl)amino)ethyl ester",31.332095844688325,High Exposure Risk,7.1915959243546315,8.0,5.445956671901731,2.793000000000001,63.68
DTXSID7070507,67584-55-8,2-(N-Methylperfluorobutylsulfonamido)ethyl acrylate,31.20192785411474,High Exposure Risk,7.182097579718601,8.0,5.430504025423108,2.4029000000000007,63.68
DTXSID3038939,754-91-6,Perfluorooctanesulfonamide,30.080269806557624,Moderate Concern,5.816096246559724,9.0,5.746555866756158,4.2418000000000005,60.160000000000004
DTXSID50880576,67939-94-0,"N,N',N''-(Phosphoryltris(oxyethylene))tris(N-ethyl-perfluoroheptane-1-sulphonamide)",29.9137783253843,High Exposure Risk,6.388878480819094,7.0,6.688806050163678,14.094199999999985,156.89999999999998
DTXSID80864521,14650-24-9,2-(((Heptadecafluorooctyl)sulfonyl)methylamino)ethyl methacrylate,29.805963993671565,High Exposure Risk,6.445737662107655,8.0,5.780169306472652,5.334200000000003,63.68
DTXSID40880525,61577-14-8,4-{[(Perfluorooctyl)sulfonyl](methyl)amino}butyl 2-methyl-2-propenoate,29.729430930538577,High Exposure Risk,6.3949942523228,8.0,5.811074599429899,6.114400000000004,63.68
DTXSID70880477,54950-05-9,"1,4-Bis((perfluorohexyl)ethyl) sulphonatosuccinate sodium",29.709709472497973,High Exposure Risk,6.3063967312731,8.0,5.888804403386374,4.638500000000004,109.80000000000001
DTXSID4070875,67939-61-1,4-(Methyl((tridecafluorohexyl)sulphonyl)amino)butyl methacrylate,29.675550269866108,High Exposure Risk,6.572403667590867,8.0,5.6439682821444395,4.843800000000003,63.68
DTXSID3070888,67939-96-2,2-(Methyl((pentadecafluoroheptyl)sulphonyl)amino)ethyl methacrylate,29.592330223852123,High Exposure Risk,6.493400962939436,8.0,5.696616147829921,4.698900000000003,63.68
DTXSID6070512,67584-61-6,2-(Methyl((tridecafluorohexyl)sulphonyl)amino)ethyl methacrylate,29.513124879513732,High Exposure Risk,6.572419759133021,8.0,5.613062989187192,4.063600000000003,63.68
DTXSID90881365,63367-17-9,"1,4-Bis(1H,1H,9H-perfluorononyl) sulfobutanedioate sodium",29.47987445611928,High Exposure Risk,6.030894475040054,8.0,6.1101787177107525,5.8051000000000075,109.80000000000001
DTXSID9070826,67906-38-1,4-[Methyl[(pentadecafluoroheptyl)sulfonyl]amino]butyl methacrylate,29.462855582424993,High Exposure Risk,6.430105912090598,8.0,5.72752144078717,5.479100000000003,63.68
DTXSID8070887,67939-93-9,Bis(2-{ethyl[(perfluoroheptyl)sulfonyl]amino}ethyl) hydrogen phosphate,29.309351806618487,High Exposure Risk,6.83608621259464,7.0,6.124923132733807,9.086599999999999,130.51999999999998
DTXSID8070839,67906-70-1,2-(Ethyl((tridecafluorohexyl)sulphonyl)amino)ethyl methacrylate,29.141649696853314,High Exposure Risk,6.471877219322598,8.0,5.628515635665815,4.453700000000003,63.68
DTXSID8059922,376-14-7,2-(N-Ethylperfluorooctanesulfonamido)ethyl methacrylate,29.11710613193905,High Exposure Risk,6.2799787426420846,8.0,5.795621952951276,5.724300000000004,63.68
DTXSID9070870,67939-36-0,"2-Propenoic acid, 2-methyl-, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester",29.06150404737569,High Exposure Risk,6.359671314780976,8.0,5.7120687943085455,5.089000000000003,63.68
DTXSID90880217,13285-40-0,2-(((Heptadecafluorooctyl)sulphonyl)propylamino)ethyl methacrylate,29.03210197860699,High Exposure Risk,6.2449942523228,8.0,5.811074599429899,6.114400000000004,63.68
DTXSID9070828,67906-40-5,4-(Methyl((undecafluoropentyl)sulphonyl)amino)butyl methacrylate,28.945678636427488,High Exposure Risk,6.507085800591886,8.0,5.56041512350171,4.2085000000000035,63.68
DTXSID50880516,60131-27-3,"Bis(2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl)sulfosuccinate sodium salt",28.75124877580484,High Exposure Risk,6.22217313129018,8.0,5.775966083139832,3.263900000000003,109.80000000000001
DTXSID3070886,67939-92-8,"N,N'-(Phosphinicobis(oxyethylene))bis(N-ethyltridecafluorohexanesulphonamide)",28.676161946790444,High Exposure Risk,6.875999532588722,7.0,5.957816815448347,7.816000000000007,130.51999999999998
DTXSID40883819,2250-98-8,"N,N',N''-(Phosphinylidynetris(oxyethane-2,1-diyl))tris(N-ethylheptadecafluorooctane-1-sulphonamide)",28.454971450104228,Moderate Concern,5.857793955686331,7.0,6.939465526091868,16.000099999999982,156.89999999999998
DTXSID7070840,67906-73-4,"2-Propenoic acid, 2-methyl-, 2-(ethyl((undecafluoropentyl)sulfonyl)amino)ethyl ester",28.42164028107954,High Exposure Risk,6.407085800591886,8.0,5.544962477023086,3.818400000000003,63.68
DTXSID1070511,67584-60-5,2-(Methyl((undecafluoropentyl)sulfonyl)amino)ethyl methacrylate,28.345536213854587,High Exposure Risk,6.407786829782965,8.0,5.529509830544462,3.428300000000003,63.68
DTXSID8063204,3820-83-5,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorooctanesulfonamide,28.245829303165408,High Exposure Risk,7.148643320359218,7.0,5.644593373946665,4.714300000000003,104.13999999999999
DTXSID90893307,98151-22-5,"Bis(1H,1H,6H-perfluorohexyl)-2-sulfobutanedioate sodium salt",28.176444252592297,High Exposure Risk,6.279450153158782,8.0,5.608859765854373,1.9932999999999998,109.80000000000001
DTXSID40881310,66551-19-7,N-[(Heptadecafluorooctyl)sulfonyl]-N-propylglycine,28.15278445604496,High Exposure Risk,6.13093481668881,8.0,5.739904536949899,5.079700000000002,74.68
DTXSID40226388,75457-12-4,N-Dodecyl-heptadecafluoro-1-octanesulfonamide,28.11624984894173,High Exposure Risk,6.733342737600292,7.0,5.965249769401871,8.793600000000003,46.17
DTXSID20880543,64264-44-4,Heptadecafluoro-N-(2-(phosphonooxy)ethyl)-N-propyloctanesulphonamide,28.03086782928001,High Exposure Risk,7.074871256252186,7.0,5.6600460204252885,5.104400000000004,104.13999999999999
DTXSID5072353,71463-78-0,(3-(Ethyl((heptadecafluorooctyl)sulfonyl)amino)propyl)-Phosphonic acid,27.965888153915785,High Exposure Risk,7.023679939487309,7.0,5.688082192740761,5.172800000000003,94.91
DTXSID50882797,104267-74-5,"Carbamic acid, [3-[[[2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethoxy]carbonyl]amino]-4-methylphenyl]-, 2-[[(heptadecafluorooctyl)sulfonyl]propylamino]ethyl ester",27.912547248775553,Moderate Concern,5.60308834445875,8.0,6.227045142965674,11.382219999999993,168.99999999999997
DTXSID8070881,67939-87-1,"2-(Ethyl((1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulphonyl)amino)ethyl dihydrogen phosphate",27.764870745786418,High Exposure Risk,6.849608710017997,7.0,5.790710498162888,6.545400000000005,130.51999999999998
DTXSID50897008,799267-73-5,1-(Perfluorooctyl)nonanol sulfate sodium,27.738302118846764,High Exposure Risk,6.89945430197635,7.0,5.743373917661269,4.595800000000005,66.43
DTXSID1070854,67923-61-9,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,27.733482908603275,High Exposure Risk,7.124433516767747,7.0,5.561040215303935,4.079000000000002,104.13999999999999
DTXSID4070827,67906-39-2,4-[Methyl[(nonafluorobutyl)sulfonyl]amino]butyl methacrylate,27.726658860627538,High Exposure Risk,6.328135307802452,8.0,5.47686196485898,3.5732000000000026,63.68
DTXSID90880252,30381-98-7,Ammonium bis(N-ethyl-2-perfluorooctylsulfonaminoethyl)phosphate,27.680620015193153,High Exposure Risk,6.404906170147677,7.0,6.1739769214972915,10.1014,169.84999999999997
DTXSID0072354,71463-79-1,(3-(Ethyl((pentadecafluoroheptyl)sulfonyl)amino)propyl)-Phosphonic acid,27.656356897243974,High Exposure Risk,7.049491766641461,7.0,5.604529034098032,4.537500000000002,94.91
DTXSID50849941,57670-47-0,"{2-[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)amino]ethyl}phosphonic acid",27.62793596508651,High Exposure Risk,6.957704469901535,7.0,5.672629546262137,4.782700000000003,94.91
DTXSID9066673,21055-88-9,"Bis(2-(ethyl((heptadecafluorooctyl)sulphonyl)amino)ethyl) (4-methyl-1,3-phenylene)biscarbamate",27.539389437544777,Moderate Concern,5.453088344458751,8.0,6.312796459993491,12.329219999999989,151.42
DTXSID70880578,67939-97-3,Ammonium bis(2-(ethyl((pentadecafluoroheptyl)sulphonyl)amino)ethyl) phosphate,27.471142174378038,High Exposure Risk,6.533266888256762,7.0,6.006870604211832,8.830800000000007,169.84999999999997
DTXSID70897661,690951-65-6,"Poly(oxy-1,2-ethanediyl), alpha-(4-sulfobutyl)-omega-[[(heptadecafluorooctyl)sulfonyl]propylamino]-",27.356906956043634,High Exposure Risk,6.866600444859319,7.0,5.691505711643542,5.679700000000004,100.97999999999999
DTXSID6071908,68957-63-1,N-Ethyl-N-((pentadecafluoroheptyl)sulphonyl)glycine,27.327931522492882,High Exposure Risk,6.055757429285189,8.0,5.640898731828544,4.054300000000001,74.68
DTXSID8070885,67939-91-7,Bis(2-(ethyl(nonafluorobutanesulphonyl)amino)ethyl) hydrogen phosphate,27.020502291203133,High Exposure Risk,6.864053072959859,7.0,5.623604180877428,5.274800000000004,130.51999999999998
DTXSID5072355,71463-80-4,"Phosphonic acid, [3-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]propyl]-, diethyl ester",27.007815056305493,High Exposure Risk,6.6166069951861965,7.0,5.831174945957861,7.261200000000006,72.91
DTXSID30892551,1432486-92-4,N-[3-(Dimethylamino)propyl]-N-[(heptadecafluorooctyl)sulfonyl]-beta-alanine,26.98301532456971,Moderate Concern,5.888081119311147,8.0,5.728312581341967,5.011500000000003,77.92
DTXSID2072594,72785-08-1,((3-(Dimethylamino)propyl)((heptadecafluorooctyl)sulfonyl)amino)-1-Propanesulfonic acid,26.973434341378187,High Exposure Risk,6.791622691744539,7.0,5.67367761424366,4.814700000000004,94.99000000000001
DTXSID70880598,68298-11-3,3-([(Perfluorooctyl)sulfonyl]{3-[(2-hydroxyethyl)(dimethyl)azaniumyl]propyl}amino)-1-propanesulfonate,26.948501121493386,High Exposure Risk,6.8916047297398455,7.0,5.5861965760830605,3.979200000000004,114.81
DTXSID701009917,23282-60-2,Sodium bis[2-(N-ethylperfluorooctane-1-sulfonamido)ethyl] phosphate,26.886002172151585,High Exposure Risk,6.2549061701476765,7.0,6.140551670455883,6.729200000000009,133.34999999999997
DTXSID3070882,67939-88-2,N-(3-(Dimethylamino)propyl)heptadecafluorooctanesulphonamide monohydrochloride,26.869164550046474,High Exposure Risk,6.599996353080343,7.0,5.815839696315271,5.246200000000003,49.410000000000004
DTXSID50549378,80556-03-2,"1,4-Bis[(2,2,3,3,4,4,5,5-octafluoropentyl)oxy]-1,4-dioxobutane-2-sulfonic acid",26.7420357870681,Moderate Concern,5.988702443350849,8.0,5.581767511416291,4.061300000000002,106.97000000000001
DTXSID0072356,71463-81-5,(3-(Ethyl((perfluoroheptyl)sulfonyl)amino)propyl)phosphonic acid diethyl ester,26.617362480920246,High Exposure Risk,6.61574559900438,7.0,5.747621787315133,6.625900000000005,72.91
DTXSID30893346,120945-47-3,Bis[N-methyl(perfluorobutyl)sulfonamidoethyl]phosphoric acid,26.479667600742857,High Exposure Risk,6.763835731295264,7.0,5.5926988879201796,4.494600000000003,130.51999999999998
DTXSID2062747,2965-52-8,Bis(2-{ethyl[(perfluorooctyl)sulfonyl]amino}ethyl) hydrogen phosphate,26.405996614409634,Moderate Concern,5.995339437927134,7.0,6.292029450019266,10.357199999999994,130.51999999999998
DTXSID20897030,872345-66-9,"3-Butyl-1-methyl-1H-imidazolium N,N-bis(perfluorobutanesulfonyl)amide",26.32760591524185,High Exposure Risk,6.574825451000035,7.0,5.72043560296829,4.916600000000003,90.06
DTXSID1072056,70225-26-2,"1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, sulfate (2:1)",26.263013607174138,High Exposure Risk,6.143581392157214,7.0,6.1069575663614035,8.600000000000007,172.6
DTXSID001009316,NOCAS_1009316,"N-(Carboxymethyl)-N,N-dimethyl-3-(1H,1H,2H,2H-perfluoro-1-decanesulfonamido)propan-1-aminium",26.242735514685457,Moderate Concern,5.74798762886746,8.0,5.7069398042215616,4.856400000000003,83.47
DTXSID6072053,70225-20-6,Bis(trimethyl-3-(((pentadecafluoroheptyl)sulphonyl)amino)propylammonium) sulphate,26.238486100874514,High Exposure Risk,6.310520247204701,7.0,5.939851249075944,7.329400000000008,172.6
DTXSID20861135,759411-03-5,3-{[3-(Dimethylamino)-2-hydroxypropyl][(heptadecafluorooctyl)sulfonyl]amino}-1-propanesulfonic acid,26.22282599036805,High Exposure Risk,6.716604272446406,7.0,5.577398707248163,3.7855000000000025,115.22
DTXSID60730715,94196-26-6,"[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)amino]methanesulfonic acid",26.21855579564713,High Exposure Risk,6.6080095474638645,7.0,5.66813341279788,4.450300000000002,91.75
DTXSID60880188,2991-52-8,Ammonium 2-(N-ethylperfluorooctanesulfonamido)acetate,26.157871038931155,High Exposure Risk,6.698567444632737,7.0,5.57856400004074,3.7311000000000014,114.01
DTXSID60880224,16083-78-6,3-(Perfluoro-13-methyl-tetradecyl)-2-hydroxypropyl acrylate,26.089317075730055,High Exposure Risk,6.775336697090989,6.0,6.4177172397773194,9.923099999999998,46.53
DTXSID2070924,67969-65-7,N-Ethyltridecafluoro-N-(2-(phosphonooxy)ethyl)hexanesulphonamide,26.07070552766217,High Exposure Risk,6.799443732911226,7.0,5.4774870566612055,3.4437000000000015,104.13999999999999
DTXSID10867560,793624-88-1,3-{[3-(Dimethylamino)propyl][(heptadecafluorooctyl)sulfonyl]amino}-2-hydroxy-1-propanesulfonic acid,26.060158411188674,High Exposure Risk,6.674939283413338,7.0,5.577398707248163,3.7855000000000025,115.22
DTXSID30883025,68259-39-2,"Poly[oxy(methyl-1,2-ethanediyl)], alpha-[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethyl]-omega-hydroxy-",26.02398192557728,High Exposure Risk,6.551189265422101,7.0,5.67486536112823,4.368700000000004,66.84
DTXSID90881345,178094-69-4,"3-[(Perfluorooctane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide potassium",26.013085763094146,High Exposure Risk,6.574999389550024,7.0,5.65194745861075,2.6251000000000015,71.3
DTXSID70893047,1513864-08-8,14:2 Fluorotelomer thioether amido sulfonic acid,25.99834708416326,Moderate Concern,5.928140025652661,7.0,6.265117840301004,10.103599999999997,83.47
DTXSID20893299,87988-69-0,N-Ethyl-N-[(heptadecafluorooctyl)sulfonyl]glycine methyl ester,25.954123948943288,Moderate Concern,5.634227589086645,8.0,5.758137104546451,4.778000000000002,63.68
DTXSID6070510,67584-59-2,2-(N-Methylperfluorobutanesulfonamido)ethyl methacrylate,25.93138752759814,Moderate Concern,5.95198169253495,8.0,5.445956671901731,2.793000000000001,63.68
DTXSID0070869,67939-33-7,2-(Ethyl((nonafluorobutyl)sulphonyl)amino)ethyl methacrylate,25.887989784559288,Moderate Concern,5.925208191554454,8.0,5.461409318380356,3.1831000000000023,63.68
DTXSID1068146,38850-60-1,3-[[3-(Dimethylamino)propyl][(perfluorohexyl)sulfonyl]amino]-1-propanesulfonic acid,25.793437108327005,High Exposure Risk,6.691599056923952,7.0,5.506571296958201,3.544100000000002,94.99000000000001
DTXSID0072772,73772-33-5,N-[3-(Dimethylamino)propyl]-perfluoro-1-hexanesulfonamide acetate,25.792537405017633,Moderate Concern,5.82668756892102,8.0,5.533276218248019,3.644700000000002,86.71000000000001
DTXSID0071334,68239-75-8,N-Ethyl-N-(3-(trimethoxysilyl)propyl)perfluoroheptane-1-sulfonamide,25.78483693029117,High Exposure Risk,6.4463590341193004,7.0,5.714152924778853,5.237900000000004,65.07
DTXSID3070252,65150-93-8,(Perfluorohexadecanyl)ethyl 2- propenoate,25.78390595552188,High Exposure Risk,6.5287975578707265,6.0,6.5820966589369245,11.197499999999996,26.3
DTXSID20893294,75032-94-9,"(1H,1H,7H-perfluoroheptyl)-2-sulfohexadecanoate sodium salt",25.762978815468124,Moderate Concern,5.786008814399947,8.0,5.565792336711973,4.980200000000006,83.5
DTXSID20892585,1513864-07-7,12:2 Fluorotelomer thioether amido sulfonic acid,25.743793301254392,High Exposure Risk,6.030957375927349,7.0,6.098011523015544,8.833,83.47
DTXSID0071889,68957-32-4,N-Ethyl-N-((tridecafluorohexyl)sulfonyl)glycine,25.734834637322336,Moderate Concern,5.788472729114796,8.0,5.557345573185815,3.4190000000000014,74.68
DTXSID80893553,178094-70-7,"3-[(Perfluoroheptane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide potassium salt",25.725978283089262,High Exposure Risk,6.599999132152234,7.0,5.568394299968019,1.9898000000000002,71.3
DTXSID8069484,61660-12-6,N-Ethylheptadecafluoro-N-(3-(trimethoxysilyl)propyl)octanesulphonamide,25.716534430038024,High Exposure Risk,6.336627935258224,7.0,5.797706083421582,5.873200000000004,65.07
DTXSID80238647,91615-22-4,((Perfluoro-13-methyltetradecyl)ethyl) acrylate,25.700671622654482,High Exposure Risk,6.591392779395105,6.0,6.498543500294193,10.562199999999999,26.3
DTXSID5072060,70248-52-1,Bis(trimethyl-3-(((tridecafluorohexyl)sulphonyl)amino)propylammonium) sulphate,25.69159413341219,High Exposure Risk,6.35785536466832,7.0,5.772744931790483,6.058800000000007,172.6
DTXSID00234929,85665-67-4,(3-(((Heptadecafluorooctyl)sulphonyl)amino)propyl)trimethylammonium hydroxide,25.645433151657976,High Exposure Risk,6.399999389149841,7.0,5.724427589150721,4.792200000000003,76.17
DTXSID10883043,68259-38-1,"Poly[oxy(methyl-1,2-ethanediyl)], alpha-[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl]-omega-hydroxy-",25.637851675536023,High Exposure Risk,6.550430572870139,7.0,5.5913122024855,3.7334000000000036,66.84
DTXSID6071906,68957-61-9,N-(3-(Dimethylamino)propyl)perfluorohexanesulfonamide hydrochloride,25.60284983830718,High Exposure Risk,6.474991350236506,7.0,5.648733379029811,3.9756000000000022,49.410000000000004
DTXSID10778889,14814-76-7,2-(Acryloyloxy)ethyl pentadecafluorooctanoate,25.588567133925697,High Exposure Risk,7.450139097962969,6.0,5.724404783467324,4.632900000000001,52.6
DTXSID7070925,67969-69-1,N-ethyl-N-[2-(phosphonooxy)ethyl]perfluorooctanesulfonamide diammonium salt,25.579527420192512,High Exposure Risk,6.756450210799956,7.0,5.408488316902715,4.2027,182.79999999999998
DTXSID5071888,68957-31-3,N-Ethyl-N-((undecafluoropentyl)sulphonyl)glycine,25.517911739081544,Moderate Concern,5.82729253471599,8.0,5.473792414543085,2.7837000000000005,74.68
DTXSID80892526,278598-45-1,12:2 Fluorotelomer sulfonamido betaine,25.44706577077775,High Exposure Risk,6.078563403565136,7.0,5.980516889860804,6.062900000000005,86.3
DTXSID20880225,16083-87-7,3-(Perfluoro-11-methyldodecyl)-2-hydroxypropyl propenoate,25.41410815515203,High Exposure Risk,6.776433127974546,6.0,6.250610922491861,8.6525,46.53
DTXSID60880486,55910-10-6,Potassium N-(perfluorooctylsulphonyl)-N-propylglycinate,25.393320016005692,High Exposure Risk,6.523797357406552,7.0,5.560591395477956,0.7490000000000003,77.51
DTXSID5062760,2991-50-6,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,25.387304648421036,Moderate Concern,5.543610360906315,8.0,5.724451890471274,4.689600000000001,74.68
DTXSID20896189,106790-26-5,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-[3-(triethoxysilyl)propyl]octane-1-sulfonamide",25.365964575595786,High Exposure Risk,6.257552734089259,7.0,5.790936775241602,6.311200000000004,73.86
