Site_location	Site_code	Sample_date_yyyymmdd	Sample_type	PFBS	PFPeS	PFHxS_linear	PFHpS	PFOS_linear	PFNS	PFDS	PFBA	PFPEA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUNDA	PFDoDA	GenX	ADONA	9Cl_PF3ONS	FOSA	FBSA	FHxSA	N_MeFOSAA_linear	N_EtFOSAA_linear	4:2FTS	6:2FTS	8:2FTS	PFTrDA	PFTEDA	11Cl_PF3OUDS	N_MeFOSA_M	N_EtFOSA_M	PFHxS_branched	PFOS_branched
"Madison or Jefferson County, Montana"	MTTW23_pf 24	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 25	20231104	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 26	20231021	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 28	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 29	20231021	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 30	20231028	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 31	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 32	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 33	20231031	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 34	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 35	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 36	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 37	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 38	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 39	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 40	20231001	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 41	20231021	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 42	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 43	20231025	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 44	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 45	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 46	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 47	20231105	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 48	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 48.6  	< 19.9  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 17.8  	< 17.7  	< 2  	< 94.2  	< 50.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 24.7  	< 47.6  	< 123  	< 162  	< 35.6  	< 19.8  
"Madison or Jefferson County, Montana"	MTTW23_pf 49	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 50	20231102	Private well	5.4	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 51	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
