CID,SMILES
65938,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)O
403,C1=CC(=CC=C1N)O
33176,CC1=C(C2=C(N1CC(=O)O)C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl
65947,CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCN(CC4)CC5=C(OC(=O)O5)C
65948,CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C
65953,CC1=C(C(C(=C(N1)COC(=O)N)C(=O)OC(C)C)C2=C(C(=CC=C2)Cl)Cl)C(=O)OC
98723,C=CC(=O)N1CCOCC1
65957,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O
65958,CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
5702063,C1=CC(=C(C(=C1)Cl)/C=N/N=C(N)N)Cl
688561,CC[C@@H]([C@@H](C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C
5702068,CC(=O)OCC(=O)[C@]1(CCC2[C@@]1(C[C@@H](C3C2CCC4=CC(=O)CC[C@]34C)O)C)O
164282,CC1(CC(CC(N1)(C)C)OC(=O)CCCCCCCCC(=O)OC2CC(NC(C2)(C)C)(C)C)C
9568700,CC(C)(/C=N/OC(=O)NC)S(=O)C
447,C1=CC(=CC(=C1)Cl)C(=O)O
688576,CC(=O)O[C@@H]1[C@H]2[C@H]([C@@H](C(=O)O2)OC(=O)C)OC1=O
197059,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC.Cl
454,CCCCCCCC=O
197066,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
460,COC1=CC=CC=C1O
65999,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C
464,C1=CC=C(C=C1)C(=O)NCC(=O)O
66007,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl
66011,C1=CC(=CC=C1CBr)[N+](=O)[O-]
33254,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3.Cl.Cl
33255,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O
33256,CCOP(=O)(C(=O)N)[O-].[NH4+]
33258,CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+]
164333,CC(COC(C)(C)C)OCCCO
66030,CCCCCCCCCCCCC1=CC=C(C=C1)O
33263,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC
5702132,CC(C)NNC(=O)C1=CC=NC=C1.OS(=O)(=O)O
66041,C=CC1=CC=C(C=C1)C=C
3015167,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-]
33286,C[N+](C)(CC=C)CC=C.[Cl-]
525,C(C(C(=O)O)O)C(=O)O
66061,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O.Cl
527,CCC=O
66062,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl
66063,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.Cl
66064,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl
66067,CCOP(=O)(CC)OC1=CC=C(C=C1)[N+](=O)[O-]
66068,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
66069,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl
5702159,CCOC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OCC)OCC)OCC.Cl
5702160,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N
5702161,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br
5702162,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3.Cl
5702167,CN1CCC(=C2C3=CC=CC=C3SC4=CC=CC=C42)CC1.C(=C\C(=O)O)\C(=O)O
541,C1=CC(=CC=C1C=O)[N+](=O)[O-]
546,C(C(=O)O)P(=O)(O)O
66094,C[Si]1(N[Si](N[Si](N1)(C)C)(C)C)C
564,C(CCC(=O)O)CCN
33334,COC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2
5374527,C/C=C/C(=O)C1=C(CCCC1(C)C)C
33344,CN1C(=O)C=C(S1)Cl
66117,C(CCC(=O)NN)CC(=O)NN
5702214,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl
5702220,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl
33360,CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C
594,C(C(C(=O)O)N)S
597,C1=C(NC(=O)N=C1)N
66133,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-]
5702242,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2.C(=C\C(=O)O)\C(=O)O
612,CC(C(=O)O)O
164457,CC1(OC[C@H](O1)COC(=O)CCC2=CC=C(C=C2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)C.Cl
66166,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
66172,CC1=CC(=NO1)N
164486,C1=CN(C(=N1)[N+](=O)[O-])CO[C@@H](CO)[C@@H](CO)O
650,CC(=O)C(=O)C
66187,CO[Si](C)(C)OC
5702285,CC(C)(C)NCC(C1=CC=CC=C1Cl)O.Cl
660,C1CC(=O)OC2=CC=CC=C21
5702293,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=C\C(=O)O)\C(=O)O
66204,Cl[Nd](Cl)Cl
671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O
164512,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C(=O)C3=C(C=C(C=C3C)C)C)C
674,CNC
33443,CCC(C)NC1=NC(=NC(=N1)NCC)OC
131746,C1CN(CCC1N)C2=NC(=CC=C2)Cl.Cl
679,CS(=O)C
681,C1=CC(=C(C=C1CCN)O)O
21988023,CCCC[N+]1=CC=CC=C1C.[Cl-]
700,C(CO)N
701,CCOC(=O)C(C)C(=O)C
702,CCO
66245,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.Cl
33478,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C
66247,CC[N+]1(CCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC.[Br-]
712,C=O
713,C(=O)N
99016,CCCC(C)C1=CC=CC=C1O
23691974,CC1=CC(=C(C=C1)C)S(=O)(=O)[O-].[Na+]
6456015,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C.C([C@@H](C(=O)O)O)C(=O)O
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
66264,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F.Cl
33498,CC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O
33500,CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
459494,C1=CC=C(C=C1)CCCC2=CC=CC=N2
743,C(CC(=O)O)CC(=O)O
66280,CCCCCCCCCCCCS(=O)(=O)Cl
2097895,CC1=C(C=CC(=C1)Br)NC(=O)CCl
750,C(C(=O)O)N
753,C(C(CO)O)O
757,C(C(=O)O)O
33528,CCCCCCCCN1C(=O)C=CS1
66308,C([C@H]([C@H]([C@@H](C=O)O)O)O)O
426756,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2]
774,C1=C(NC=N1)CCN
66320,[Li+].[Li+].[O-]S(=O)(=O)[O-]
785,C1=CC(=CC=C1O)O
33557,[N-]=[N+]=[N-].[Na+]
795,C1=CN=CN1
33565,C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O
798,C1=CC=C2C(=C1)C=CN2
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
803,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
807,II
811,C=C(CC(=O)O)C(=O)O
66357,CC(=C)C(=O)OCCOC1=CC=CC=C1
33599,CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C
33611,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl.Cl
135430996,CCCOC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)CC)C3=NC4=C(N(N=C4C(=O)N3)CC5=CC=CC=N5)CC
33624,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
33630,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
863,C1CSSC1CCCCC(=O)N
864,C1CSSC1CCCCC(=O)O
867,C(C(=O)O)C(=O)O
875,C(C(C(=O)O)O)(C(=O)O)O
11076461,CCCC[N+]1(CCCC1)C.[I-]
880,CC(=O)C=O
887,CO
892,C1(C(C(C(C(C1O)O)O)O)O)O
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
164739,C[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)N
904,CC(=O)NC1=CC=CC=C1
66449,C1=CC(=CC=C1CCN)O.Cl
689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
66461,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O
931,C1=CC=C2C=CC=CC2=C1
936,C1=CC(=CN=C1)C(=O)N
938,C1=CC(=CN=C1)C(=O)O
20054964,C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@H](O2)[C@@]3(CC[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)[C@H]6[C@@H]([C@H]([C@@H]([C@](O6)(CC(=O)[O-])O)C)OC)OC)C)O)C)C)OC7C[C@@H]([C@H]([C@@H](O7)C)OC)OC)(C)O)C.[NH4+]
949,CN(C)C1=CC=CC=C1
20054967,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)C1=CC=CC=C1
66491,C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2
957,CCCCCCCCO
66494,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C(=O)O
11731903,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
33733,CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C
967,C1=C(NC(=O)NC1=O)C(=O)O
970,C(C(=O)C(=O)O)C(=O)O
971,C(=O)(C(=O)O)O
978,C1=CC(=CC=C1C(=O)O)N
980,C1=CC(=CC=C1[N+](=O)[O-])O
135529432,C1CCC(CC1)(CC2=NOC(=O)N2)CN.Cl
985,CCCCCCCCCCCCCCCC(=O)O
10126299,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC.Cl
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
996,C1=CC=C(C=C1)O
997,C1=CC=C(C=C1)CC(=O)C(=O)O
998,C1=CC=C(C=C1)CC=O
999,C1=CC=C(C=C1)CC(=O)O
1004,OP(=O)(O)O
33775,CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl
590836,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C
1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O
1018,C1=CC=NC(=C1)C(=O)O
1030,CC(CO)O
1031,CCCO
1032,CCC(=O)O
66569,CC1=COC2=CC=CC=C2C1=O
5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl
66571,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)[N+](=O)[O-]
5702667,C1=CC=C(C=C1)N/C=C/C=C/C=NC2=CC=CC=C2.Cl
66573,CCN1C2=C(C=C(C=C2)[N+](=O)[O-])C3=CC=CC=C31
1046,C1=CN=C(C=N1)C(=O)N
1049,C1=CC=NC=C1
1050,CC1=NC=C(C(=C1O)C=O)CO
1054,CC1=NC=C(C(=C1O)CO)CO
1057,C1=CC(=C(C(=C1)O)O)O
1060,CC(=O)C(=O)O
66597,CC(C)(C)C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
66598,CCOC(=O)C1=CC=CC=C1C
1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O
66609,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN(C)C
1080,C(C(C(=O)O)N)SCC(=O)O
66623,C1=CC(=C(C=C1N)N)S(=O)(=O)O
1091,O[Se](=O)O
66636,CCOC(=O)C1=NN(C(=O)C1)C2=CC=CC=C2
66638,CC1=NN(C(=O)C1)C2=CC=C(C=C2)S(=O)(=O)O
66645,C1=CC(=C(C=C1Cl)Cl)C(=O)Cl
1110,C(CC(=O)O)C(=O)O
10159191,CC(C)(C)C1=CSC(=N1)C2=CC3=C(O2)C=CC(=C3)OCC4=CC=CC=C4CC(=O)O
3081304,CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)Cl)F
5702746,CC[C@H](C)COC(=O)/C=C/C1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC
1118,OS(=O)(=O)O
1123,C(CS(=O)(=O)O)N
1127,C1CCSC1
66666,C=CC1=CC=CC=C1C=C
1133,C(C(=O)O)S
1135,CC1=CNC(=O)NC1=O
1136,CC1=C(SC=N1)CCO
5282183,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N
1140,CC1=CC=CC=C1
66678,CC1=CC2=C(C=C1)NCCC2
66679,CCN(CC)C1=CC=CC(=C1)C
1146,CN(C)C
1148,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
33919,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O
66688,C1=CC(=CC(=C1)Cl)N(CCO)CCO
33925,CCC1(C(=O)N(C(=O)N(C1=O)COC)COC)C2=CC=CC=C2
33934,CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C
99472,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)O)CCC4=CC(=O)CC[C@]34C
3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
1174,C1=CNC(=O)NC1=O
1176,C(=O)(N)N
9831581,CCOC1=NC2=C(C=C1)NC=C(C2=O)C(=O)NCC3=CC=CC=C3
1183,COC1=C(C=CC(=C1)C=O)O
66726,COC1=CC(=C(C=C1)OC)C=O
33960,CCCCCC1=CC=CC(=O)O1
66743,CCOC(=O)C1=CC=C(C=C1)C
15008962,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F)OC.[Na+]
66755,CCOC1=CC=CC=C1O
656582,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]
656583,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@]45[C@@]3(CC(=C([C@H]4O5)O)C#N)C
66760,C1=CC2=NNN=C2C=C1Cl
197835,CN1CCC2=CC3=C(C=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3
34001,C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O.Cl
656602,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCF.[Br-]
5375199,CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C
1254,CC1CCC(C(C1)O)C(C)C
66793,COC1=CC(=C(C=C1)N)[N+](=O)[O-]
623849,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O
6063342,COC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2)OC)OC
135398638,C1=NC2=C(N1)C(=O)NC=N2
197873,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl
135398641,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
5282209,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC
34040,CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br
656641,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
135398658,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
34051,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=C(CCC3)C=C2
6259976,CC/C=C/1\C2=CC=CC=C2C(=O)O1
66826,C1=CC(=CC=C1[N+](=O)[O-])[As](=O)(O)O
99597,CC(C)(C)C(=O)CC(=O)OC
656655,C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br
5282215,C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4.C(=C/C(=O)O)\C(=O)O
12059921,CC[N+]1(CCCC1)C.[I-]
12059922,CCC[N+]1(CCCC1)C.[I-]
20841747,C1=CC=C(C=C1)[NH3+].[N+](=O)([O-])[O-]
656665,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CNC4=CC=CC=C43
656667,CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl
34081,C1CC(C(C(C1)(COC(=O)C2=CN=CC=C2)COC(=O)C3=CN=CC=C3)O)(COC(=O)C4=CN=CC=C4)COC(=O)C5=CN=CC=C5
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
66854,C[N+](C)(C)CC1=CC=CC=C1.[OH-]
66858,CCN(CC1=CC(=CC=C1)S(=O)(=O)O)C2=CC=CC=C2
197942,C1COCCN1[N+]2=NOC(=C2)N.[Cl-]
1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl
66885,C1=CC(=CC(=C1)OCCO)OCCO
1355,C1CN(CCN1)C2=CC(=CC=C2)Cl
1359,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2
135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
135398738,CN(C)/N=N/C1=C(NC=N1)C(=O)N
135398739,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O
135398740,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
135398741,CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N.Cl
135398745,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
135398748,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
66909,C1=CC=C(C=C1)CNS(=O)(=O)C2=CC=C(C=C2)N
66912,C1=CC(=CC=C1OCCO)OCCO
460129,C([C@@H](C(=O)O)N)OC(=O)C=[N+]=[N-]
